,Start,End,Type,time,pollution
0,Gadolinium,Cerium,Car,207.7986666666666,10.389933333333332
1,Holmium,Promethium,Walk,1158.3993333333328,0.0
2,Thallium,Mercury,Car,495.54999999999984,24.77749999999999
3,Neodymium,Dysprosium,Walk,382.9499999999997,0.0
4,Thorium,Polonium,Walk,1155.0999999999997,0.0
5,Technetium,Indium,Walk,475.48999999999995,0.0
6,Ytterbium,Thulium,Walk,1112.4099999999999,0.0
7,Tantalum,Gold,Car,380.9399999999996,19.04699999999998
8,Vanadium,Chromium,Car,173.82999999999998,8.691499999999998
9,Neon,Beryllium,Walk,318.59000000000003,0.0
10,Protactinium,Uranium,Walk,1034.5500000000002,0.0
11,Erbium,Thulium,Walk,1005.207500000001,0.0
12,Xenon,Neodymium,Walk,486.8639999999995,0.0
13,Francium,Thallium,Car,570.7366666666666,28.53683333333333
14,Promethium,Holmium,Walk,1021.5500000000008,0.0
15,Astatine,Protactinium,Car,509.415833333333,25.47079166666665
16,Technetium,Rubidium,Car,162.64999999999992,8.132499999999995
17,Argon,Magnesium,Walk,381.78999999999985,0.0
18,Lanthanum,Barium,Car,203.08999999999997,10.154499999999999
19,Mercury,Tungsten,Walk,1175.4924999999998,0.0
20,Lithium,Fluorine,Walk,448.515,0.0
21,Sulfur,Chlorine,Walk,465.65000000000043,0.0
22,Zirconium,Niobium,Walk,335.76333333333343,0.0
23,Radon,Uranium,Car,569.6100000000004,28.48050000000002
24,Sulfur,Neon,Car,226.28000000000003,11.314
25,Potassium,Manganese,Car,198.86999999999986,9.943499999999993
26,Technetium,Indium,Car,150.47000000000006,7.523500000000002
27,Germanium,Arsenic,Walk,420.05999999999995,0.0
28,Cerium,Gadolinium,Car,187.85999999999993,9.392999999999995
29,Hydrogen,Nitrogen,Car,192.20999999999992,9.610499999999996
30,Strontium,Rubidium,Walk,369.6999999999998,0.0
31,Manganese,Gallium,Walk,466.0699999999999,0.0
32,Iron,Calcium,Walk,503.26000000000016,0.0
33,Krypton,Molybdenum,Walk,369.7599999999999,0.0
34,Arsenic,Germanium,Walk,438.49999999999943,0.0
35,Rhenium,Thulium,Car,638.1899999999994,31.90949999999997
36,Antimony,Rhodium,Walk,352.6699999999998,0.0
37,Fluorine,Phosphorus,Walk,484.53000000000003,0.0
38,Nitrogen,Hydrogen,Car,229.52999999999983,11.476499999999993
39,Actinium,Bismuth,Car,640.9000000000009,32.045000000000044
40,Neptunium,Plutonium,Car,545.9933333333331,27.299666666666653
41,Strontium,Ruthenium,Car,193.84499999999983,9.69224999999999
42,Antimony,Tin,Car,213.6125,10.680625
43,Fluorine,Lithium,Walk,483.0300000000003,0.0
44,Actinium,Thorium,Walk,1101.0600000000004,0.0
45,Oxygen,Silicon,Car,241.07999999999996,12.053999999999998
46,Ruthenium,Rhodium,Car,209.59999999999994,10.479999999999997
47,Strontium,Yttrium,Walk,390.50000000000006,0.0
48,Sulfur,Titanium,Car,223.90999999999997,11.195499999999997
49,Aluminum,Nitrogen,Car,197.98666666666654,9.899333333333328
50,Ytterbium,Gadolinium,Walk,1265.7600000000004,0.0
51,Germanium,Strontium,Walk,410.51999999999964,0.0
52,Helium,Lithium,Walk,467.78166666666664,0.0
53,Promethium,Samarium,Walk,1119.81,0.0
54,Fluorine,Neon,Walk,450.7099999999995,0.0
55,Chromium,Vanadium,Car,185.45999999999987,9.272999999999993
56,Praseodymium,Terbium,Car,234.54000000000013,11.727000000000007
57,Cesium,Promethium,Walk,413.1600000000002,0.0
58,Neon,Sodium,Walk,345.83623809523806,0.0
59,Tellurium,Palladium,Car,239.03449999999978,11.951724999999989
60,Tellurium,Iodine,Car,236.14399999999983,11.807199999999991
61,Lanthanum,Europium,Walk,396.3400000000002,0.0
62,Lead,Radium,Walk,1131.4899999999989,0.0
63,Samarium,Erbium,Walk,1184.4533333333331,0.0
64,Calcium,Scandium,Car,193.02999999999997,9.651499999999999
65,Radon,Mercury,Walk,884.0300000000003,0.0
66,Europium,Thulium,Car,566.5799999999999,28.328999999999997
67,Lead,Osmium,Car,559.0533333333331,27.952666666666655
68,Platinum,Iridium,Car,461.5119999999999,23.075599999999994
69,Iron,Germanium,Car,237.77999999999966,11.888999999999983
70,Helium,Hydrogen,Walk,512.1003333333333,0.0
71,Germanium,Iron,Car,229.91828571428547,11.495914285714273
72,Tantalum,Tungsten,Walk,785.8579999999993,0.0
73,Sulfur,Titanium,Walk,466.1399999999996,0.0
74,Radium,Francium,Car,578.0776666666673,28.90388333333336
75,Tin,Barium,Walk,369.98999999999967,0.0
76,Carbon,Boron,Car,253.56999999999996,12.6785
77,Tungsten,Erbium,Car,585.0100000000001,29.250500000000006
78,Selenium,Zirconium,Walk,455.19499999999994,0.0
79,Aluminum,Potassium,Walk,420.61000000000024,0.0
80,Scandium,Titanium,Car,207.63999999999987,10.381999999999994
81,Scandium,Titanium,Walk,448.94999999999953,0.0
82,Arsenic,Yttrium,Car,198.4594999999999,9.922974999999996
83,Tin,Ruthenium,Car,179.3499999999999,8.967499999999996
84,Nitrogen,Oxygen,Car,223.13000000000008,11.156500000000003
85,Iridium,Osmium,Walk,1229.629999999999,0.0
86,Uranium,Protactinium,Walk,902.4000000000016,0.0
87,Beryllium,Lithium,Walk,349.7100000000002,0.0
88,Americium,Plutonium,Car,565.9199999999996,28.29599999999998
89,Oxygen,Fluorine,Car,237.47999999999996,11.873999999999999
90,Phosphorus,Silicon,Walk,452.1700000000002,0.0
91,Gallium,Manganese,Car,204.45333333333318,10.222666666666658
92,Iodine,Silver,Walk,420.94333333333316,0.0
93,Astatine,Radon,Car,508.58666666666693,25.429333333333346
94,Oxygen,Silicon,Walk,418.7916666666666,0.0
95,Silicon,Aluminum,Car,235.41999999999985,11.770999999999992
96,Tin,Indium,Walk,361.10000000000014,0.0
97,Chromium,Vanadium,Walk,425.01066666666657,0.0
98,Zinc,Chromium,Car,235.7399999999997,11.786999999999985
99,Technetium,Rubidium,Walk,494.17000000000047,0.0
100,Americium,Plutonium,Walk,1258.830000000001,0.0
101,Ytterbium,Lutetium,Walk,1205.6299999999994,0.0
102,Ruthenium,Strontium,Walk,292.82000000000016,0.0
103,Yttrium,Zirconium,Car,168.09999999999997,8.404999999999998
104,Thulium,Erbium,Walk,935.7100000000003,0.0
105,Praseodymium,Iodine,Walk,398.89999999999986,0.0
106,Zirconium,Yttrium,Walk,333.79866666666675,0.0
107,Neptunium,Francium,Car,527.7500000000006,26.387500000000028
108,Astatine,Protactinium,Walk,1130.6699999999998,0.0
109,Astatine,Gold,Car,483.3458333333332,24.16729166666666
110,Phosphorus,Fluorine,Walk,449.47999999999996,0.0
111,Zinc,Copper,Walk,419.8299999999998,0.0
112,Copper,Vanadium,Car,173.01,8.6505
113,Rhodium,Ruthenium,Walk,423.80000000000007,0.0
114,Yttrium,Arsenic,Walk,394.4469999999999,0.0
115,Curium,Americium,Walk,1275.3980000000006,0.0
116,Tellurium,Antimony,Car,230.2779999999999,11.513899999999994
117,Osmium,Ytterbium,Walk,793.4399999999998,0.0
118,Barium,Lanthanum,Walk,318.5199999999999,0.0
119,Platinum,Hafnium,Car,489.79999999999984,24.48999999999999
120,Molybdenum,Krypton,Car,209.91999999999987,10.495999999999995
121,Protactinium,Astatine,Walk,1034.3500000000001,0.0
122,Cobalt,Nickel,Car,206.72666666666666,10.336333333333332
123,Sulfur,Phosphorus,Walk,467.25,0.0
124,Magnesium,Carbon,Walk,414.34999999999974,0.0
125,Selenium,Arsenic,Walk,430.7100000000002,0.0
126,Thulium,Europium,Car,477.1800000000003,23.859000000000016
127,Erbium,Tungsten,Walk,895.41,0.0
128,Silver,Palladium,Walk,383.60000000000025,0.0
129,Beryllium,Boron,Walk,357.72999999999985,0.0
130,Ruthenium,Technetium,Car,196.34000000000006,9.817000000000002
131,Molybdenum,Krypton,Walk,438.2299999999999,0.0
132,Tellurium,Antimony,Walk,402.65999999999997,0.0
133,Lithium,Fluorine,Car,163.79000000000002,8.1895
134,Calcium,Potassium,Walk,446.52,0.0
135,Bismuth,Polonium,Walk,903.9900000000002,0.0
136,Polonium,Bismuth,Car,407.95199999999994,20.397599999999997
137,Chlorine,Vanadium,Walk,384.19999999999993,0.0
138,Lithium,Helium,Car,171.53000000000006,8.576500000000003
139,Tungsten,Erbium,Walk,931.5100000000007,0.0
140,Barium,Cesium,Walk,293.24999999999983,0.0
141,Uranium,Neptunium,Walk,854.6500000000008,0.0
142,Indium,Technetium,Walk,422.4599999999999,0.0
143,Copper,Bromine,Walk,457.39,0.0
144,Plutonium,Neptunium,Walk,960.9399999999993,0.0
145,Ruthenium,Tin,Walk,316.9199999999999,0.0
146,Gadolinium,Terbium,Walk,928.5900000000006,0.0
147,Rhenium,Tungsten,Car,632.0799999999995,31.603999999999974
148,Neptunium,Plutonium,Walk,1050.0700000000006,0.0
149,Strontium,Ruthenium,Walk,367.7099999999999,0.0
150,Zirconium,Selenium,Walk,348.4174999999999,0.0
151,Neodymium,Xenon,Walk,376.13999999999965,0.0
152,Rhenium,Thulium,Walk,1332.25,0.0
153,Lanthanum,Cerium,Car,211.16000000000005,10.558000000000002
154,Cesium,Indium,Walk,413.65500000000065,0.0
155,Thorium,Actinium,Walk,1154.2500000000002,0.0
156,Actinium,Americium,Walk,1125.6500000000003,0.0
157,Hydrogen,Helium,Walk,429.7899999999999,0.0
158,Niobium,Bromine,Car,218.44666666666643,10.922333333333322
159,Argon,Chlorine,Walk,367.28999999999985,0.0
160,Niobium,Bromine,Walk,456.93249999999995,0.0
161,Magnesium,Argon,Walk,394.2299999999999,0.0
162,Rhodium,Antimony,Car,155.06899999999996,7.753449999999998
163,Radon,Francium,Car,553.8899999999996,27.69449999999998
164,Manganese,Iron,Walk,428.91,0.0
165,Iodine,Xenon,Walk,421.5299999999998,0.0
166,Praseodymium,Terbium,Walk,383.61999999999966,0.0
167,Vanadium,Titanium,Car,183.1033333333333,9.155166666666664
168,Nitrogen,Aluminum,Car,233.3699999999999,11.668499999999995
169,Mercury,Radon,Walk,1319.0600000000015,0.0
170,Rhodium,Ruthenium,Car,162.36166666666662,8.118083333333331
171,Cobalt,Scandium,Walk,387.94,0.0
172,Boron,Sodium,Walk,432.3599999999999,0.0
173,Nitrogen,Hydrogen,Walk,454.13000000000005,0.0
174,Rubidium,Strontium,Walk,406.0,0.0
175,Polonium,Bismuth,Walk,787.0390000000006,0.0
176,Radium,Plutonium,Walk,916.3800000000002,0.0
177,Osmium,Iridium,Walk,755.1899999999994,0.0
178,Cobalt,Arsenic,Walk,387.8699999999997,0.0
179,Phosphorus,Fluorine,Car,192.83999999999995,9.641999999999998
180,Beryllium,Neon,Car,168.37499999999994,8.418749999999998
181,Hydrogen,Helium,Car,202.64,10.132
182,Calcium,Silicon,Car,194.92999999999992,9.746499999999996
183,Chlorine,Sodium,Walk,374.2099999999999,0.0
184,Niobium,Silver,Walk,462.60999999999973,0.0
185,Yttrium,Rhodium,Car,170.64,8.532
186,Niobium,Zirconium,Walk,467.0849999999999,0.0
187,Bismuth,Lead,Walk,888.8583333333338,0.0
188,Scandium,Cobalt,Car,213.68,10.684000000000001
189,Hafnium,Platinum,Car,511.3550000000005,25.567750000000025
190,Hydrogen,Nitrogen,Walk,456.85666666666697,0.0
191,Cerium,Praseodymium,Car,185.48,9.274
192,Iridium,Platinum,Walk,1220.1999999999996,0.0
193,Iron,Germanium,Walk,467.9800000000003,0.0
194,Bromine,Copper,Car,196.01999999999978,9.80099999999999
195,Neon,Sulfur,Walk,346.08400000000006,0.0
196,Cobalt,Scandium,Car,199.9346666666667,9.996733333333333
197,Lead,Thallium,Walk,1133.6000000000008,0.0
198,Germanium,Strontium,Car,226.618,11.3309
199,Nickel,Copper,Walk,360.43999999999977,0.0
200,Molybdenum,Cadmium,Car,236.81999999999996,11.841
201,Molybdenum,Niobium,Walk,442.42,0.0
202,Tantalum,Gold,Walk,745.0686428571425,0.0
203,Thulium,Ytterbium,Walk,921.8399999999995,0.0
204,Thallium,Mercury,Walk,1046.9699999999998,0.0
205,Lutetium,Iridium,Walk,1082.8900000000012,0.0
206,Carbon,Magnesium,Walk,344.88966666666676,0.0
207,Iridium,Bismuth,Car,484.77999999999975,24.238999999999987
208,Argon,Chromium,Car,205.05666666666676,10.252833333333337
209,Iron,Manganese,Walk,485.1100000000002,0.0
210,Dysprosium,Neodymium,Car,215.58999999999986,10.779499999999993
211,Strontium,Germanium,Walk,378.05000000000007,0.0
212,Samarium,Erbium,Car,502.8699999999995,25.143499999999975
213,Actinium,Bismuth,Walk,1079.6400000000003,0.0
214,Hafnium,Dysprosium,Walk,895.8630000000004,0.0
215,Lanthanum,Europium,Car,207.77000000000007,10.388500000000004
216,Gold,Tantalum,Walk,912.75,0.0
217,Terbium,Lutetium,Car,392.4966666666669,19.624833333333346
218,Radon,Astatine,Car,515.2899999999998,25.764499999999995
219,Lithium,Helium,Walk,433.9866666666665,0.0
220,Tungsten,Tantalum,Walk,953.6899999999991,0.0
221,Helium,Oxygen,Walk,468.3900000000002,0.0
222,Copper,Zinc,Walk,443.42999999999967,0.0
223,Neon,Sulfur,Car,178.01999999999992,8.900999999999996
224,Praseodymium,Neodymium,Walk,409.66999999999973,0.0
225,Radon,Mercury,Car,550.4999999999993,27.524999999999963
226,Beryllium,Lithium,Car,167.23000000000002,8.361500000000001
227,Neodymium,Praseodymium,Car,252.11033333333322,12.605516666666661
228,Curium,Americium,Car,492.72999999999996,24.636499999999998
229,Francium,Neptunium,Walk,917.6599999999997,0.0
230,Hafnium,Dysprosium,Car,479.5408333333333,23.977041666666665
231,Chlorine,Sulfur,Walk,378.08999999999963,0.0
232,Iodine,Tellurium,Car,205.01666666666665,10.250833333333333
233,Radon,Astatine,Walk,893.3099999999997,0.0
234,Antimony,Lanthanum,Walk,335.18999999999994,0.0
235,Bismuth,Iridium,Walk,906.645000000001,0.0
236,Palladium,Tellurium,Car,203.90999999999994,10.195499999999997
237,Plutonium,Radium,Car,584.6500000000001,29.232500000000005
238,Chlorine,Vanadium,Car,176.00999999999988,8.800499999999994
239,Silver,Iodine,Car,219.2999999999999,10.964999999999996
240,Selenium,Nickel,Walk,408.0000000000001,0.0
241,Rhodium,Yttrium,Car,168.50500000000008,8.425250000000004
242,Vanadium,Chromium,Walk,439.6773333333331,0.0
243,Phosphorus,Scandium,Walk,456.29999999999984,0.0
244,Nickel,Titanium,Walk,376.9599999999998,0.0
245,Iodine,Xenon,Car,212.52999999999997,10.626499999999998
246,Silicon,Phosphorus,Walk,438.2999999999998,0.0
247,Zirconium,Palladium,Car,203.62666666666647,10.181333333333322
248,Thorium,Polonium,Car,538.0900000000005,26.904500000000027
249,Ytterbium,Thulium,Car,414.94000000000045,20.74700000000002
250,Silver,Niobium,Car,226.1499999999999,11.307499999999996
251,Neptunium,Uranium,Car,538.6799999999996,26.93399999999998
252,Beryllium,Neon,Walk,376.53000000000026,0.0
253,Praseodymium,Neodymium,Car,238.22999999999993,11.911499999999997
254,Calcium,Scandium,Walk,423.37000000000006,0.0
255,Niobium,Zirconium,Car,204.56999999999988,10.228499999999995
256,Mercury,Radon,Car,551.0533333333334,27.552666666666667
257,Potassium,Calcium,Walk,426.8899999999999,0.0
258,Radium,Plutonium,Car,596.6036666666668,29.830183333333338
259,Ytterbium,Osmium,Walk,1144.9000000000005,0.0
260,Actinium,Radium,Car,617.4600000000004,30.87300000000002
261,Oxygen,Helium,Walk,420.03166666666647,0.0
262,Samarium,Promethium,Walk,1147.9599999999998,0.0
263,Sodium,Magnesium,Walk,458.9499999999998,0.0
264,Holmium,Promethium,Car,515.0000000000001,25.750000000000004
265,Erbium,Holmium,Car,617.5266666666663,30.876333333333314
266,Rubidium,Technetium,Walk,425.0566666666665,0.0
267,Argon,Magnesium,Car,209.87000000000003,10.493500000000001
268,Technetium,Ruthenium,Walk,488.3200000000001,0.0
269,Vanadium,Chlorine,Car,174.25999999999988,8.712999999999994
270,Tin,Ruthenium,Walk,360.6900000000003,0.0
271,Iron,Cobalt,Car,231.38999999999973,11.569499999999987
272,Nickel,Selenium,Walk,376.4399999999998,0.0
273,Cobalt,Iron,Walk,396.06599999999975,0.0
274,Cadmium,Xenon,Car,218.4686666666665,10.923433333333326
275,Palladium,Zirconium,Car,202.52999999999986,10.126499999999993
276,Polonium,Thorium,Walk,773.8800000000001,0.0
277,Cesium,Promethium,Car,257.4499999999999,12.872499999999993
278,Germanium,Iron,Walk,410.7399999999999,0.0
279,Curium,Thorium,Car,562.4199999999998,28.120999999999995
280,Promethium,Cesium,Car,237.43999999999983,11.871999999999991
281,Aluminum,Potassium,Car,188.58249999999992,9.429124999999997
282,Gold,Astatine,Car,575.1500000000003,28.757500000000018
283,Gadolinium,Ytterbium,Walk,951.4699999999988,0.0
284,Zirconium,Niobium,Car,211.6366666666666,10.581833333333329
285,Platinum,Hafnium,Walk,1117.3000000000004,0.0
286,Americium,Actinium,Walk,1288.7029999999986,0.0
287,Iridium,Lutetium,Car,458.67000000000013,22.93350000000001
288,Rhenium,Osmium,Walk,1316.7599999999998,0.0
289,Carbon,Magnesium,Car,256.9150000000002,12.84575000000001
290,Thulium,Rhenium,Car,487.86999999999955,24.393499999999975
291,Nitrogen,Oxygen,Walk,445.5699999999997,0.0
292,Aluminum,Nitrogen,Walk,406.35999999999984,0.0
293,Iron,Calcium,Car,233.37999999999974,11.668999999999988
294,Cadmium,Silver,Walk,430.1699999999998,0.0
295,Platinum,Polonium,Car,483.9002499999998,24.19501249999999
296,Mercury,Gold,Walk,1252.345000000001,0.0
297,Neptunium,Uranium,Walk,1076.01,0.0
298,Zirconium,Yttrium,Car,207.04449999999989,10.352224999999994
299,Boron,Carbon,Car,212.82999999999996,10.641499999999999
300,Manganese,Potassium,Car,204.73999999999992,10.236999999999997
301,Lutetium,Hafnium,Walk,1158.7900000000004,0.0
302,Plutonium,Radium,Walk,987.4399999999994,0.0
303,Gadolinium,Ytterbium,Car,459.07999999999964,22.953999999999983
304,Titanium,Vanadium,Walk,420.5399999999997,0.0
305,Copper,Bromine,Car,168.99999999999994,8.449999999999998
306,Osmium,Lead,Walk,767.9499999999998,0.0
307,Uranium,Neptunium,Car,588.6799999999997,29.433999999999987
308,Ruthenium,Tin,Car,208.7399999999999,10.436999999999994
309,Tantalum,Holmium,Car,382.96999999999974,19.148499999999988
310,Lutetium,Hafnium,Car,392.7700000000002,19.63850000000001
311,Xenon,Cadmium,Car,217.29999999999984,10.864999999999991
312,Chromium,Argon,Walk,431.20999999999964,0.0
313,Holmium,Erbium,Car,532.97,26.648500000000002
314,Actinium,Thorium,Car,582.7600000000001,29.138000000000005
315,Rubidium,Strontium,Car,236.02,11.801000000000002
316,Praseodymium,Cerium,Walk,404.31000000000006,0.0
317,Europium,Samarium,Walk,916.2899999999997,0.0
318,Zinc,Krypton,Car,236.90999999999963,11.845499999999982
319,Titanium,Scandium,Walk,402.1449999999999,0.0
320,Rubidium,Gallium,Car,235.84166666666673,11.792083333333338
321,Bromine,Copper,Walk,505.80571428571403,0.0
322,Curium,Thorium,Walk,1253.2679999999998,0.0
323,Terbium,Praseodymium,Car,172.09999999999977,8.604999999999988
324,Nickel,Titanium,Car,244.07149999999982,12.203574999999992
325,Silver,Cadmium,Car,221.7099999999998,11.08549999999999
326,Potassium,Aluminum,Walk,433.39000000000004,0.0
327,Europium,Gadolinium,Walk,898.3666666666654,0.0
328,Terbium,Praseodymium,Walk,340.00999999999976,0.0
329,Gallium,Rubidium,Walk,354.9099999999996,0.0
330,Boron,Beryllium,Walk,472.80999999999983,0.0
331,Neodymium,Praseodymium,Walk,383.33999999999946,0.0
332,Technetium,Ruthenium,Car,155.6199999999999,7.780999999999994
333,Palladium,Zirconium,Walk,412.37000000000006,0.0
334,Antimony,Tellurium,Walk,327.47999999999996,0.0
335,Calcium,Potassium,Car,200.59999999999988,10.029999999999994
336,Nickel,Cobalt,Car,274.95416666666665,13.747708333333332
337,Antimony,Tellurium,Car,207.89666666666656,10.39483333333333
338,Xenon,Neodymium,Car,226.75999999999993,11.337999999999997
